Postal_code,max_temp,min_temp,exposure
V1J2T9,7.454986301,-3.697479452,1
V1J2P2,7.455123288,-3.693506849,1
V1J2A3,7.455479452,-3.678082192,1
V1J2S5,7.455616438,-3.696657534,1
V1J2N4,7.456,-3.692739726,1
V1J2B9,7.456,-3.678246575,1
V1J2C3,7.456,-3.678246575,1
V1J6N6,7.456,-3.678246575,1
V1J4V5,7.456109589,-3.693835616,1
V1J3R7,7.456136986,-3.696410959,1
V1J3R5,7.456164384,-3.696219178,1
V1J2N5,7.456246575,-3.692657534,1
V1J2R5,7.456465753,-3.69539726,1
V1J1W3,7.456547945,-3.677041096,1
V1J3L9,7.456575342,-3.693232877,1
V1J2L7,7.456958904,-3.691945205,1
V1J1W2,7.457205479,-3.676931507,1
V1J4V8,7.457232877,-3.693205479,1
V1J2R8,7.457260274,-3.696109589,1
V1J6Y4,7.457287671,-3.677369863,1
V1J0E9,7.457369863,-3.69769863,1
V1J2R7,7.457369863,-3.695863014,1
V1J2L6,7.457506849,-3.691753425,1
V1J3R6,7.457506849,-3.695452055,1
V1J1W5,7.457506849,-3.67739726,1
V1J3L8,7.457589041,-3.692356164,1
V1J4W6,7.457671233,-3.692493151,1
V1J3R4,7.457780822,-3.695232877,1
V1J6K4,7.457780822,-3.675917808,1
V1J2J7,7.457835616,-3.691205479,1
V1J2R1,7.457917808,-3.695780822,1
V1J2A1,7.457945205,-3.678383562,1
V1J2A2,7.457945205,-3.678383562,1
V1J1S4,7.457972603,-3.67569863,1
V1J2J6,7.458054795,-3.690931507,1
V1J4T1,7.458191781,-3.692082192,1
V1J3L7,7.458657534,-3.691835616,1
V1J2W3,7.458684932,-3.695616438,1
V1J2W1,7.458684932,-3.695260274,1
V1J1W4,7.458684932,-3.677534247,1
V1J3R3,7.458767123,-3.694575342,1
V1J5L4,7.458767123,-3.693315068,1
V1J3C4,7.458767123,-3.675917808,1
V1J2A4,7.458931507,-3.67909589,1
V1J4L5,7.45909589,-3.674739726,1
V1J6Y2,7.459123288,-3.706876712,1
V1J6N9,7.459178082,-3.674958904,1
V1J4V7,7.459287671,-3.692520548,1
V1J4K8,7.45939726,-3.67539726,1
V1J3W6,7.459479452,-3.696054795,1
V1J1S5,7.459506849,-3.67660274,1
V1J1S6,7.459616438,-3.676493151,1
V1J6H1,7.459671233,-3.705726027,1
V1J6J7,7.459890411,-3.705232877,1
V1J2L8,7.459917808,-3.69260274,1
V1J6W7,7.460109589,-3.677452055,1
V1J4P3,7.460109589,-3.676849315,1
V1J1L6,7.460219178,-3.673890411,1
V1J7B9,7.460328767,-3.694767123,1
V1J3E2,7.460383562,-3.676958904,1
V1J1L7,7.460383562,-3.673726027,1
V1J3R1,7.460465753,-3.692986301,1
V1J1W7,7.460520548,-3.677917808,1
V1J3R2,7.460547945,-3.692849315,1
V1J2J9,7.46060274,-3.692136986,1
V1J6R8,7.460630137,-3.696219178,1
V1J2W5,7.460657534,-3.696109589,1
V1J2J8,7.460684932,-3.692,1
V1J3C2,7.460712329,-3.67460274,1
V1J3S8,7.460739726,-3.694109589,1
V1J3W5,7.460739726,-3.694958904,1
V1J3S9,7.460794521,-3.693835616,1
V1J7H9,7.460849315,-3.694109589,1
V1J1P3,7.460849315,-3.675643836,1
V1J2W4,7.460876712,-3.696054795,1
V1J3C3,7.46090411,-3.67460274,1
V1J1P2,7.461041096,-3.675534247,1
V1J3E1,7.46109589,-3.676383562,1
V1J3P8,7.461287671,-3.691890411,1
V1J7H7,7.461424658,-3.69339726,1
V1J3P9,7.461424658,-3.691890411,1
V1J4S5,7.461506849,-3.674191781,1
V1J7H8,7.461561644,-3.693534247,1
V1J2V7,7.461616438,-3.704465753,1
V1J2S6,7.461616438,-3.693369863,1
V1J2S4,7.461616438,-3.693205479,1
V1J1S7,7.461616438,-3.677369863,1
V1J1J4,7.461643836,-3.673205479,1
V1J2V1,7.461726027,-3.695150685,1
V1J6M6,7.461753425,-3.676191781,1
V1J7B8,7.461780822,-3.695753425,1
V1J1S8,7.461863014,-3.677260274,1
V1J3W4,7.461890411,-3.694219178,1
V1J1J3,7.461890411,-3.673123288,1
V1J6R7,7.461917808,-3.705561644,1
V1J7B7,7.462,-3.695479452,1
V1J7B5,7.462136986,-3.694,1
V1J4Z6,7.462191781,-3.675753425,1
V1J3S6,7.462246575,-3.692575342,1
V1J6W3,7.462328767,-3.706876712,1
V1J7J1,7.462383562,-3.692821918,1
V1J1L9,7.462410959,-3.675068493,1
V1J1L8,7.462410959,-3.674767123,1
V1J3S7,7.462547945,-3.692410959,1
V1J6L6,7.462684932,-3.694739726,1
V1J4R8,7.462712329,-3.69430137,1
V1J1P5,7.462739726,-3.676465753,1
V1J3W3,7.462821918,-3.693287671,1
